name;year;art_berufung;forschungsbereich;gleiche_person_in_hr_liste;quelle
Philipp Grohs;2022;§99(4);Mathematical Data Science;;https://www.univie.ac.at/fileadmin/user_upload/univie/dokumente/Leistungsberichte_Entwicklungsplaene/Leistungsbericht_2022.pdf
Robert Schneider-Reisinger;2022;§98;Inklusive Pädagogik und Behinderungsforschung;;https://www.univie.ac.at/fileadmin/user_upload/univie/dokumente/Leistungsberichte_Entwicklungsplaene/Leistungsbericht_2022.pdf
Britta Breser;2023;§99(1);Demokratiebildung;;https://lehrerinnenbildung.univie.ac.at/arbeitsbereiche/didaktik-der-politischen-bildung/team/breser-britta/
Desirée Schmuck;2023;§98;Publizistik- und Kommunikationswissenschaft mit dem Schwerpunkt Medienwandel und Medieninnovation;;https://www.univie.ac.at/fileadmin/user_upload/univie/dokumente/Leistungsberichte_Entwicklungsplaene/Leistungsbericht_2023.pdf
Kathrin Hanauer;2023;§99(1);Algorithms for Scalable AI;;https://www.univie.ac.at/fileadmin/user_upload/univie/dokumente/Leistungsberichte_Entwicklungsplaene/Leistungsbericht_2023.pdf
Martha Guzmán Riverón;2023;§99(1);Romanische Sprachwissenschaft: Hispanistik;;https://www.univie.ac.at/fileadmin/user_upload/univie/dokumente/Leistungsberichte_Entwicklungsplaene/Leistungsbericht_2023.pdf
Arne Moritz;2024;§99(1);Ethik in Schule und Gesellschaft;;https://www.univie.ac.at/aktuelles/neue-professuren/detail/moritz-arne
Daniele Semola;2024;§99(1);Geometrische Partielle Differentialgleichungen;2026;https://www.univie.ac.at/fileadmin/user_upload/univie/dokumente/Leistungsberichte_Entwicklungsplaene/Leistungsbericht_2024.pdf
Edvina Besic;2024;§99(1);Inklusive Pädagogik;;https://www.univie.ac.at/fileadmin/user_upload/univie/dokumente/Leistungsberichte_Entwicklungsplaene/Leistungsbericht_2024.pdf
Benedikt Graf;2025;§98;Professur für Arbeits- und Organisationspsychologie;;
Johanna Ullrich;2025;§98;Professur für Communication Technologies;;
Valentina Petrović;2026;;Vergleichende Politikwissenschaft (Politische Soziologie Osteuropas);;https://www.univie.ac.at/aktuelles/neue-professuren/detail/petrovic-valentina
